	PPEE	PPDE	PostFC	RealFC	data.libraries..SmLE.PZQ.ER.RNA.adu.m.1.SmLE.PZQ.ER.RNA.adu.m.1_rsem.isoforms.results_Mean	data.libraries..SmLE.PZQ.ES.RNA.adu.m.1.SmLE.PZQ.ES.RNA.adu.m.1_rsem.isoforms.results_Mean
transcript:Smp_068070.1	0.988386149756916	0.0116138502430844	1.05180285059898	1.05185925070364	534.450426856686	508.100211988113
transcript:Smp_068070.2	0.646854836941059	0.353145163058941	1.41952756433467	1.42048142376265	345.607605756095	243.300190456842
transcript:Smp_068100.1	0.953083623450049	0.0469163765499512	1.14202992215104	1.14219532190569	542.577194375069	475.028886930295
transcript:Smp_068110.1	0.00391777898740608	0.996082221012594	1.15246175300185	1.15254296896948	1196.89804573124	1038.48320845837
transcript:Smp_068120.1	0.98491100209879	0.0150889979012105	1.07208973393059	1.07222975832647	305.370812299877	284.799118501349
transcript:Smp_068120.2	0.965807115371991	0.0341928846280094	0.85336723731309	0.852736922222275	109.731920076799	128.683759138288
transcript:Smp_068120.3	1	2.65143272303181e-17	2.98292108939403	112.678621733101	1.11678621733101	0
transcript:Smp_068120.4	0.969355046311161	0.0306449536888389	1.25733553580463	1.28405702758554	6.83081033457504	5.31749728992806
transcript:Smp_068170.1	0	1	1.33777806851494	1.33790492632362	1970.70431068885	1472.97531600755
transcript:Smp_068220.1	0.00179316558962739	0.998206834410373	1.11508368262642	1.11511366618912	2367.72900459552	2123.30628280302
transcript:Smp_068240.1	1	3.37760053174607e-18	1.10324113713983	1.10346864431814	277.004081946093	251.029377849532
transcript:Smp_068250.1	2.59025395832335e-06	0.999997409746042	1.23687898468337	1.23696095642104	1977.42655250062	1598.61487351423
transcript:Smp_068250.2	0.939667138077868	0.0603328619221324	0.694869583038319	0.688367162072908	17.859596225715	25.9493966857797
transcript:Smp_068270.1	0.88101805133672	0.118981948663281	1.13224868154354	1.13233521274827	957.355533981778	845.468903423107
transcript:Smp_068270.2	0.98987088791603	0.0101291120839702	1.0234070445584	1.02342653554763	679.903318031046	664.339901448693
transcript:Smp_068280.1	0.0360274457735329	0.963972554226467	1.30722160984336	1.30725930200204	5894.48583461949	4509.03868344956
transcript:Smp_068300.1	0.973326894414768	0.0266731055852316	0.881849650949034	0.881692443794579	366.565972782817	415.753994988057
transcript:Smp_068300.2	0.958937377869413	0.0410626221305866	1.31869986924708	1.3243880735589	41.0393357534587	30.9849451924244
transcript:Smp_068340.1	0.983480250639585	0.0165197493604151	1.06863720222275	1.0686507237488	3000.90588470955	2808.12535986989
transcript:Smp_068350.1	0.957153154891923	0.0428468451080775	0.82089246312927	0.820561740196931	245.825721922078	299.584424013821
transcript:Smp_068420.1	0.993352941315249	0.00664705868475131	0.995515203942719	0.99551300949674	1125.49886199784	1130.57177167048
transcript:Smp_068440.1	0.990097141510495	0.00990285848950473	1.05192487055351	1.05193524829508	2911.68414887963	2767.93047314106
transcript:Smp_068480.1	6.44120872261844e-06	0.999993558791277	0.722222866611747	0.721929120359575	377.651655347938	523.118441140917
transcript:Smp_068500.1	0.93106104896969	0.0689389510303104	0.877541304177143	0.87751821363365	2574.50714714021	2933.85177875395
transcript:Smp_068510.1	0.996310656453867	0.00368934354613319	0.909506695170044	0.909498560364992	5596.99235904247	6153.93306594211
transcript:Smp_068530.1	0.997834095270921	0.00216590472907903	1.00819288487751	1.00819407980685	3824.03457599799	3792.95472037469
